
2024/11/19 (03:49:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/19 (03:49:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/19 (03:49:30) | ===> btop++ v.1.4.0
2024/11/19 (03:49:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/19 (03:49:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/19 (03:49:42) | ===> btop++ v.1.4.0
2024/11/19 (03:49:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/19 (03:49:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/21 (04:41:26) | ===> btop++ v.1.4.0
2024/11/21 (04:41:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/21 (04:41:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/22 (04:49:58) | ===> btop++ v.1.4.0
2024/11/22 (04:49:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/22 (04:49:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/30 (17:47:30) | ===> btop++ v.1.4.0
2024/11/30 (17:47:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/30 (17:47:30) | WARNING: Intel GPU: Failed to initialize PMU
